logID,lineID,date,time,level,module,component,message,tid,template,values
1,1,2015-10-17,"15:37:56,547",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445062781478_0011_000001,E29,Created MRAppMaster for application appattempt_<*>,['1445062781478_0011_000001']
1,2,2015-10-17,"15:37:56,899",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,Executing with tokens:,[]
1,3,2015-10-17,"15:37:56,900",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 11 cluster_timestamp: 1445062781478 } attemptId: 1 } keyId: 471522253)",E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","['11', '1445062781478', '1', '471522253']"
1,4,2015-10-17,"15:37:57,036",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,Using mapred newApiCommitter.,[]
1,5,2015-10-17,"15:37:57,634",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,OutputCommitter set in config null,[]
1,6,2015-10-17,"15:37:57,720",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,[]
1,7,2015-10-17,"15:37:57,784",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['jobhistory.EventType', 'jobhistory.JobHistoryEventHandler']"
1,8,2015-10-17,"15:37:57,787",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.JobEventType', 'v2.app.MRAppMaster$JobEventDispatcher']"
1,9,2015-10-17,"15:37:57,789",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.TaskEventType', 'v2.app.MRAppMaster$TaskEventDispatcher']"
1,10,2015-10-17,"15:37:57,792",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.TaskAttemptEventType', 'v2.app.MRAppMaster$TaskAttemptEventDispatcher']"
1,11,2015-10-17,"15:37:57,793",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.commit.CommitterEventType', 'v2.app.commit.CommitterEventHandler']"
1,12,2015-10-17,"15:37:57,808",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.speculate.Speculator$EventType', 'v2.app.MRAppMaster$SpeculatorEventDispatcher']"
1,13,2015-10-17,"15:37:57,809",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.rm.ContainerAllocator$EventType', 'v2.app.MRAppMaster$ContainerAllocatorRouter']"
1,14,2015-10-17,"15:37:57,812",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.launcher.ContainerLauncher$EventType', 'v2.app.MRAppMaster$ContainerLauncherRouter']"
1,15,2015-10-17,"15:37:57,902",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>],['msra-sa-41:9000']
1,16,2015-10-17,"15:37:57,952",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>],['msra-sa-41:9000']
1,17,2015-10-17,"15:37:58,002",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [hdfs://<*>],['msra-sa-41:9000']
1,18,2015-10-17,"15:37:58,024",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,E37,Emitting job history data to the timeline server is not enabled,[]
1,19,2015-10-17,"15:37:58,131",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.JobFinishEvent$Type', 'v2.app.MRAppMaster$JobFinishEventHandler']"
1,20,2015-10-17,"15:37:58,359",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,E63,loaded properties from hadoop-metrics2.properties,[]
1,21,2015-10-17,"15:37:58,405",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,E92,Scheduled snapshot period at <*> second(s).,['10']
1,22,2015-10-17,"15:37:58,405",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,E69,MRAppMaster metrics system started,[]
1,23,2015-10-17,"15:37:58,412",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445062781478_0011 to jobTokenSecretManager,E7,Adding job token for job_<*> to jobTokenSecretManager,['1445062781478_0011']
1,24,2015-10-17,"15:37:58,550",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445062781478_0011 because: not enabled; too many maps; too much input;,E71,Not uberizing job_<*> because: not enabled; too many maps; too much input;,['1445062781478_0011']
1,25,2015-10-17,"15:37:58,568",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445062781478_0011 = 1256521728. Number of splits = 10,E48,Input size for job job_<*> = <*>. Number of splits = <*>,"['1445062781478_0011', '1256521728', '10']"
1,26,2015-10-17,"15:37:58,569",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445062781478_0011 = 1,E73,Number of reduces for job job_<*> = <*>,"['1445062781478_0011', '1']"
1,27,2015-10-17,"15:37:58,569",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445062781478_0011Job Transitioned from NEW to INITED,E55,job_<*>Job Transitioned from NEW to INITED,['1445062781478_0011']
1,28,2015-10-17,"15:37:58,570",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445062781478_0011.",E68,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>.",['1445062781478_0011']
1,29,2015-10-17,"15:37:58,601",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[]
1,31,2015-10-17,"15:37:58,630",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,[]
1,35,2015-10-17,"15:37:58,721",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,E64,Logging to <*>(org.mortbay.log) via <*>,"['org.slf4j.impl.Log4jLoggerAdapter', 'org.mortbay.log.Slf4jLog']"
1,36,2015-10-17,"15:37:58,725",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,E47,Http request log for http.requests.mapreduce is not defined,[]
1,37,2015-10-17,"15:37:58,735",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),[]
1,38,2015-10-17,"15:37:58,740",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,[]
1,39,2015-10-17,"15:37:58,740",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,[]
1,40,2015-10-17,"15:37:58,743",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,E8,adding path spec: /<*>/*,['mapreduce']
1,41,2015-10-17,"15:37:58,743",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,E8,adding path spec: /<*>/*,['ws']
1,42,2015-10-17,"15:37:58,752",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 47462,E52,Jetty bound to port <*>,['47462']
1,43,2015-10-17,"15:37:58,752",INFO,main,org.mortbay.log,jetty-6.1.26,E53,jetty-6.1.26,[]
1,44,2015-10-17,"15:37:58,782",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\2\Jetty_0_0_0_0_47462_mapreduce____j3iclo\webapp,E43,Extract jar:file:<*> to <*>,"['/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce', 'C:\\Users\\msrabi\\AppData\\Local\\Temp\\2\\Jetty_0_0_0_0_47462_mapreduce____j3iclo\\webapp']"
1,45,2015-10-17,"15:37:58,926",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:47462,E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>,['0.0.0.0:47462']
1,46,2015-10-17,"15:37:58,926",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 47462,E113,Web app /mapreduce started at <*>,['47462']
1,47,2015-10-17,"15:37:59,314",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,E88,Registered webapp guice modules,[]
