logID,lineID,month,date,time,level,component,pid,message,tid,template,values
1,1,Jun,9,06:06:20,combo,syslogd 1.4.1,,restart.,E90,restart.,[]
1,2,Jun,9,06:06:20,combo,syslog,,syslogd startup succeeded,E106,syslogd startup succeeded,[]
1,3,Jun,9,06:06:20,combo,syslog,,klogd startup succeeded,E65,klogd startup succeeded,[]
1,4,Jun,9,06:06:20,combo,kernel,,"klogd 1.4.1, log source = /proc/kmsg started.",E64,"klogd <*>.<*>.<*>, log source = /proc/kmsg started.","['1', '4', '1']"
1,5,Jun,9,06:06:20,combo,kernel,,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E68,Linux version <*>.<*>.<*><*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*><*>)) #<*> <*>:<*>:<*> EDT <*>,"['2', '6', '', '5-1', '358', '3', '3', '3 20040412', '3', '3', '', '3-7', '1', 'Sat May 8 09', '04', '50', '2004']"
1,6,Jun,9,06:06:20,combo,kernel,,BIOS-provided physical RAM map:,E22,BIOS-provided physical RAM map:,[]
1,7,Jun,9,06:06:20,combo,kernel,,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E21,BIOS-e820: <*> - <*> (usable),"['0000000000000000', '00000000000a0000']"
1,8,Jun,9,06:06:20,combo,kernel,,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E20,BIOS-e820: <*> - <*> (reserved),"['00000000000f0000', '0000000000100000']"
1,9,Jun,9,06:06:20,combo,kernel,,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E21,BIOS-e820: <*> - <*> (usable),"['0000000000100000', '0000000007eae000']"
1,10,Jun,9,06:06:20,combo,kernel,,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E20,BIOS-e820: <*> - <*> (reserved),"['0000000007eae000', '0000000008000000']"
1,11,Jun,9,06:06:20,combo,kernel,,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E20,BIOS-e820: <*> - <*> (reserved),"['00000000ffb00000', '0000000100000000']"
1,12,Jun,9,06:06:20,combo,kernel,,0MB HIGHMEM available.,E2,<*> HIGHMEM available.,['0MB']
1,13,Jun,9,06:06:20,combo,kernel,,126MB LOWMEM available.,E3,<*> LOWMEM available.,['126MB']
1,14,Jun,9,06:06:20,combo,kernel,,zapping low mappings.,E118,zapping low mappings.,[]
1,15,Jun,9,06:06:20,combo,kernel,,On node 0 totalpages: 32430,E76,On node <*> totalpages: <*>,"['0', '32430']"
1,16,Jun,9,06:06:20,combo,kernel,,"DMA zone: 4096 pages, LIFO batch:1",E41,"DMA zone: <*> pages, LIFO batch:<*>","['4096', '1']"
1,17,Jun,9,06:06:20,combo,kernel,,"Normal zone: 28334 pages, LIFO batch:6",E74,"Normal zone: <*> pages, LIFO batch:<*>","['28334', '6']"
